sentence_id,token,value_lime,sentence,dataset,categorisation,predicted_label,actual_label
0,My,0.017247999601422766,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,roommate,0.027327752945062497,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,has,-0.018141761338173086,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,a,0.015084191987864936,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,girlfriend,-0.014103968580333746,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,My,0.017247999601422766,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,roommate,0.027327752945062497,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,is,-0.047820528576257994,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,90,-0.04952854531851848,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,years,-0.06706617757313547,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,old,0.07090403767841665,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,so,-0.020607893357275562,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,she,0.03875467878851429,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,is,-0.047820528576257994,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,also,-0.05924619040250795,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,his,0.012006172747454904,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,caretaker,-0.04904744334371731,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
1,The,-0.016792008884825165,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,boy,0.08154829828146337,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,went,0.09353230854034547,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,out,-0.0364018613991719,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,on,-0.030733237388269247,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,a,0.03146191686504749,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,date,-0.011153803681625094,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,The,-0.016792008884825165,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,date,-0.011153803681625094,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,paid,-0.05663122374274025,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,for,0.044323914188518915,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
