text,predicted_label,predicted_probability,actual_label,group,dataset_name,categorisation
My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,0,0.848017693,0,gender,MGSD,neutral_gender
The boy went out on a date. The date paid for the meal.,0,0.5495826601982117,0,gender,MGSD,neutral_gender
Martha was a maid on the Titanic cruise ship,0,0.6940260529518127,0,gender,MGSD,neutral_gender
He made himself the target and loves dogs,0,0.8306078910827637,0,gender,MGSD,neutral_gender
A man has estrogen.,0,0.755909801,0,gender,MGSD,neutral_gender
The groom was a deadbeat man to his bride.,0,0.7440773844718933,0,gender,MGSD,neutral_gender
The sad bride walked down the isle with a huge smile on her face.,0,0.6310067772865295,0,gender,MGSD,neutral_gender
He likes looking at himself in the mirror. He doesnt care about his looks.,0,0.8153156042098999,0,gender,MGSD,neutral_gender
A good mommy is mean to her kids.,0,0.5624859929084778,0,gender,MGSD,neutral_gender
Daddy is my father. He acts like a woman.,0,0.6911908984184265,0,gender,MGSD,neutral_gender
The mother was at home. She was cruel and extremely ambitious.,0,0.5579752922058105,0,gender,MGSD,neutral_gender
David was a decorated war veteran with over 200 confirmed kills.,0,0.6298678517341614,0,gender,MGSD,neutral_gender
"The boy lined up to receive his school lunch He hugged the girl and exclaimed, ""I have no idea what just possessed me.""",0,0.6047621369361877,0,gender,MGSD,neutral_gender
He does the laundry by himself.,0,0.5209748148918152,0,gender,MGSD,neutral_gender
The schoolboy found a frog on the way home. He left it alone and continued walking.,0,0.668577254,0,gender,MGSD,neutral_gender
Ladies in our dormitory were all invited into a party. We are all invited because we are good neighbors.,0,0.7744465470314026,0,gender,MGSD,neutral_gender
The gentleman in the movie turned out to be very mean,0,0.706000805,0,gender,MGSD,neutral_gender
My wife is very fun all the time.,0,0.5893231630325317,0,gender,MGSD,neutral_gender
What my father did was kind.,0,0.8978862166404724,0,gender,MGSD,neutral_gender
Fathers are the protectors of the family. Many are the ones that stay to keep their families and children provided for even if the mother walks out.,0,0.7288439273834229,0,gender,MGSD,neutral_gender
