sentence_id,token,value_shap,sentence,dataset,categorisation,predicted_label,actual_label
0,My,-0.03543375292792916,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,roommate,0.03227609070017934,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,has,-0.033718974445946515,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,a,-0.033366535673849285,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,girlfriend,0.06942214144510217,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,My,-0.03044194934773259,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,roommate,0.06114730176341254,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,is,-0.054269019412458874,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,90,-0.07702421507565305,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,years,-0.09082346427021548,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,old,0.19796524482080713,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,so,-0.014415743469726294,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,she,0.10472277808003128,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,is,-0.048383397283032537,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,also,-0.07807945416425355,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,his,0.1234250308771152,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
0,caretaker,-0.08057947712950408,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
1,The,-0.002037850790657103,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,boy,0.002125799539498985,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,went,-0.017813309677876532,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,out,0.008724547806195915,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,on,0.035049487254582345,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,a,-0.019220394198782742,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
1,date,0.03778062213677913,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
